id,query,label,word_count,cleaned_query,augmented_data,tokens,lemmatized_data
0,شرایط حذف ترم چیه؟,1,5.0,شرایط حذف ترم چیه,امتحانات پیش ترم چیه,"['شرایط', 'حذف', 'ترم', 'چیه']","['شرایط', 'حذف', 'تر', 'چیه']"
1,از کجا می تونم با دکتر وحیدی ارتباط برقرار کنم؟,2,11.0,از کجا می‌تونم با دکتر وحیدی ارتباط برقرار کنم,از اونا میتونم با صدای وحیدی ارتباط برقرار کردن,"['کجا', 'می\u200cتونم', 'دکتر', 'وحیدی', 'ارتباط', 'برقرار', 'کنم']","['کجا', 'می\u200cتونم', 'دکتر', 'وحید', 'ارتباط', 'برقرار', 'کرد#کن']"
2,بوفه برداران تا ساعت چند باز است؟,2,8.0,بوفه برداران تا ساعت چند باز است,سایه سرا تا ساعت چند بسته است,"['بوفه', 'برداران', 'ساعت', 'چند', 'باز', 'است']","['بوفه', 'بردار', 'ساعت', 'چند', 'باز', '#است']"
3,کمترین تعداد واحد چند عدد است؟,1,7.0,کمترین تعداد واحد چند عدد است,کمترین مطلوبیت واحد چند نرخی است,"['کمترین', 'تعداد', 'واحد', 'چند', 'عدد', 'است']","['کمترین', 'تعداد', 'واحد', 'چند', 'عدد', '#است']"
4,سنگ جامد است,5,3.0,سنگ جامد است,سنگ جامد نیز,"['سنگ', 'جامد', 'است']","['سنگ', 'جامد', '#است']"
5,سرورای دانشکده مشکل دارن؟,3,5.0,سرورای دانشکده مشکل دارن,سرورای هم مشکل داشتند,"['سرورای', 'دانشکده', 'مشکل', 'دارن']","['سرورای', 'دانشکده', 'مشکل', 'دارن']"
6,کلاس آزمایشگاه فیزیک در دانشکده خودمان برگزار میشود یا دانشکده فیزیک؟,2,12.0,کلاس آزمایشگاه فیزیک در دانشکده خودمان برگزار میشود یا دانشکده فیزیک,کلاس اموزش فیزیک در شهر خودمان اداره میگردد یا دانشکده فیزیک,"['کلاس', 'آزمایشگاه', 'فیزیک', 'دانشکده', 'خودمان', 'برگزار', 'میشود', 'دانشکده', 'فیزیک']","['کلاس', 'آزمایشگاه', 'فیزیک', 'دانشکده', 'خود', 'برگزار', 'میشود', 'دانشکده', 'فیزیک']"
7,شرایط حذف پزشکی چیه؟,1,5.0,شرایط حذف پزشکی چیه,شرایط حذف ، ب,"['شرایط', 'حذف', 'پزشکی', 'چیه']","['شرایط', 'حذف', 'پزشک', 'چیه']"
8,در شرایطی ساعت و روز کلاسی جابجا می شود؟,1,10.0,در شرایطی ساعت و روز کلاسی جابجا می‌شود,در نهایت ساعت و عوامل دیگر جابجا میشود,"['شرایطی', 'ساعت', 'روز', 'کلاسی', 'جابجا', 'می\u200cشود']","['شرایط', 'ساعت', 'روز', 'کلاس', 'جابجا', 'شد#شو']"
9,سطل آشغال در کلاس 101 وجود ندارد.,4,8.0,سطل آشغال در کلاس وجود ندارد,پس اشغال در کلاس حضور ندارد,"['سطل', 'آشغال', 'کلاس', 'وجود', 'ندارد']","['سطل', 'آشغال', 'کلاس', 'وجود', 'داشت#دار']"
10,در حذف و اضافه چند واحد میتوانم بردارم؟,1,9.0,در حذف و اضافه چند واحد میتوانم بردارم,با نوشتن و دستکاری چند واحد میتوانم بردارم,"['حذف', 'اضافه', 'چند', 'واحد', 'میتوانم', 'بردارم']","['حذف', 'اضافه', 'چند', 'واحد', 'میتوانم', 'بردار']"
11,پارک علم و فناوری چیه؟,5,6.0,پارک علم و فناوری چیه,الان علم و معدن چیه,"['پارک', 'علم', 'فناوری', 'چیه']","['پارک', 'علم', 'فناوری', 'چیه']"
12,بازه امتحانات چه زمانی است؟,1,6.0,بازه امتحانات چه زمانی است,بازه که بازه زمانی است,"['بازه', 'امتحانات', 'چه', 'زمانی', 'است']","['بازه', 'امتحانات', 'چه', 'زمان', '#است']"
13,چطوری بفهمم مدارکم کامله یا نه ؟,1,7.0,چطوری بفهمم مدارکم کامله یا نه,چطوری بفهمم اگر کامله ارزشش نداره,"['چطوری', 'بفهمم', 'مدارکم', 'کامله', 'نه']","['چطور', 'فهمید#فهم', 'مدارک', 'کامله', 'نه']"
14,انتخاب واحد برای ورودی 1398 برای نیم فصل اول چه زمانی است؟,1,13.0,انتخاب واحد برای ورودی برای نیم فصل اول چه زمانی است,انتخاب واحد برای ازمون برای نیم لیتر اول ارزش زمانی میباشد,"['انتخاب', 'واحد', 'ورودی', 'برای', 'نیم', 'فصل', 'اول', 'چه', 'زمانی', 'است']","['انتخاب', 'واحد', 'ورود', 'برای', 'نیم', 'فصل', 'اول', 'چه', 'زمان', '#است']"
15,زمان انتخاب واحد کیه؟,1,5.0,زمان انتخاب واحد کیه,زمان استراحت کردم کیه,"['زمان', 'انتخاب', 'واحد', 'کیه']","['زمان', 'انتخاب', 'واحد', 'کیه']"
16,میشه ماشین اورد تو دانشگاه یا نه؟,5,8.0,میشه ماشین اورد تو دانشگاه یا نه,میشه ماشین شد واسه بیمارستان یا نه,"['میشه', 'ماشین', 'اورد', 'دانشگاه', 'نه']","['میشه', 'ماشین', 'اورد', 'دانشگاه', 'نه']"
17,خوابگاه کجاست؟,2,3.0,خوابگاه کجاست,سینما کجاست,"['خوابگاه', 'کجاست']","['خوابگاه', 'کجاست']"
18,کتابخانه کجاست؟,2,3.0,کتابخانه کجاست,برق کجاست,"['کتابخانه', 'کجاست']","['کتابخانه', 'کجاست']"
19,زباله های خوابگاه را چه ساعتی باید گذاشت دم در؟,5,11.0,زباله‌های خوابگاه را چه ساعتی باید گذاشت دم در,زبالههای زبالهها را چه ساعتی جا گذاشت از در,"['زباله\u200cهای', 'خوابگاه', 'چه', 'ساعتی', 'باید', 'گذاشت', 'دم']","['زباله', 'خوابگاه', 'چه', 'ساعت', 'باید', 'گذاشت#گذار', 'دم']"
20,رئیس سابق دانشکده چه شخصی است؟,2,7.0,رئیس سابق دانشکده چه شخصی است,ريیس اصلی دفتر چه شخصی است,"['رئیس', 'سابق', 'دانشکده', 'چه', 'شخصی', 'است']","['رئیس', 'سابق', 'دانشکده', 'چه', 'شخص', '#است']"
21,زیراکس کجا واقع شده؟,2,5.0,زیراکس کجا واقع شده,زیراکس فی واقع کجاست,"['زیراکس', 'کجا', 'واقع', 'شده']","['زیراکس', 'کجا', 'واقع', 'شده']"
22,نحوه ی پخت قرمه سبزی را توضیح بده.,5,9.0,نحوه‌ی پخت قرمه سبزی را توضیح بده,نحوهی درست پخت سبزی حتما توضیح بده,"['نحوه\u200cی', 'پخت', 'قرمه', 'سبزی', 'توضیح', 'بده']","['نحوه', 'پخت#پز', 'قرمه', 'سبزی', 'توضیح', 'داد#ده']"
23,طبقه دوم گرم کن داره؟,2,6.0,طبقه دوم گرم کن داره,طبقه سوم پارک کن داره,"['طبقه', 'دوم', 'گرم', 'کن', 'داره']","['طبقه', 'دوم', 'گرم', 'کن', 'داره']"
